pgc,al2000,de2000,ring
29390,10.1145843,14.0785934,R
29437,10.1249645,35.4696143,R
29438,10.1256174,14.6086179,R
29480,10.1408992,14.5515143,R
29508,10.1458391,12.6879494,R
29562,10.1642272,3.5473054,R
29617,10.1751763,-1.8010636,R
29631,10.1777604,20.0701667,R
29738,10.2138231,30.5833989,R
29789,10.2239761,38.657633,R
29796,10.2247464,38.6198301,R
29801,10.2255434,-3.1685755,R
29826,10.2335429,14.4996773,R
29917,10.2506498,14.6058246,R
29918,10.2496642,40.8634885,R
29972,10.2661588,39.2431237,R
29976,10.2659818,58.4716092,R
29977,10.2682978,38.1092407,R
30008,10.2759116,22.0910815,R
30058,10.2938754,6.9711382,R
30244,10.3447964,13.9677333,R
30299,10.3590357,47.9867533,R
30370,10.3753282,4.5824172,R
30371,10.375004,36.5992581,R
135715,9.2261201,-0.2526444,R
135725,9.5271562,1.570503,R
135738,10.0780087,0.3699203,R
139109,8.4861337,30.3849093,R
139144,8.8319885,2.8981703,R
152712,8.5032434,-1.2701234,R
153179,8.8175399,1.5384257,R
153298,8.9502218,0.5055263,R
153402,9.0476291,1.6810984,R
153546,9.2100804,0.3094853,R
154854,10.1993701,-1.9517044,R
155110,10.3505078,-1.3478126,R
213566,9.0984242,25.3889473,R
1091496,9.3883381,-2.4562238,R
1095888,9.2625667,-2.3022196,R
1098404,9.6171424,-2.2167905,R
1101193,9.4107241,-2.1206812,R
1101256,9.9910568,-2.1187891,R
1101952,9.2903388,-2.0921822,R
1104724,9.1840857,-1.9861136,R
1113413,9.5998829,-1.6606914,R
1115294,9.7876469,-1.5831439,R
1121024,9.8565211,-1.3404702,R
1122338,8.9078347,-1.2860028,R
1123030,9.8658296,-1.2587879,R
1124165,9.8674876,-1.2109344,R
1127207,8.4250659,-1.0832776,R
1132703,9.7120736,-0.8671939,R
1146864,10.259528,-0.2973161,R
1147507,10.1310522,-0.2718963,R
1154343,8.996358,-0.0056002,R
1158487,10.3581364,0.1551372,R
1160707,9.9006104,0.2392617,R
1163210,9.9608422,0.3325332,R
1174153,9.1556791,0.7387242,R
1175219,8.9434777,0.7784314,R
1177310,8.9317403,0.8530728,R
1192747,8.9320143,1.3684806,R
1210787,8.4732169,1.937423,R
1225982,9.5981564,2.4083872,R
1226741,8.2734909,2.4307854,R
1236100,10.0845467,2.7394028,R
1240799,9.1939967,2.9166461,R
1242105,10.1023228,2.9690783,R
1253763,9.4931897,3.5182951,R
1257133,8.7771252,3.7055414,R
1261301,9.5511412,3.9583719,R
1262541,8.6085697,4.0376769,R
1264470,8.3205984,4.1677524,R
1265530,10.2690004,4.244607,R
1266055,8.6695128,4.2819778,R
1267391,8.4220794,4.3769319,R
1271693,9.4259067,4.6815638,R
1280679,8.1685531,5.2649445,R
1290023,9.3711137,5.8393589,R
1297247,9.4570536,6.2535389,R
1297353,10.1536034,6.2582093,R
1307512,8.1122823,6.7890565,R
1308192,9.9801608,6.8222048,R
1310701,10.307567,6.9494244,R
1311178,9.3021617,6.9710968,R
1313592,8.3784643,7.088566,R
1318135,8.1392484,7.286872,R
1321618,9.4977676,7.4308962,R
1321694,9.7987473,7.4332773,R
1323517,8.3476512,7.5071668,R
1329827,8.9092975,7.7485995,R
1348119,10.0002781,8.5004167,R
1352877,10.2106603,8.7434515,R
1353716,8.3064531,8.7885814,R
1354848,8.1856284,8.8514116,R
1356387,8.4304523,8.9277872,R
1357655,8.5209585,8.9968431,R
1357927,8.1123873,9.0110321,R
1365380,8.8495717,9.4567143,R
1366147,8.5809493,9.5088633,R
1366164,10.1249038,9.5100133,R
1367235,7.9806326,9.5890951,R
1370171,9.7124039,9.7943573,R
1371222,10.0117155,9.8717905,R
1384230,9.6488326,10.7704004,R
1385947,8.0055441,10.8893465,R
1386443,9.0809945,10.9252866,R
1392399,9.8679534,11.3575235,R
1392785,9.8456667,11.3838769,R
1394099,9.9538322,11.4692464,R
1396014,8.408212,11.6008981,R
1399469,9.9789129,11.8346528,R
1400612,9.2464685,11.9042749,R
1401881,8.4473616,11.9833093,R
1403576,8.6901912,12.0880015,R
1403649,10.1931652,12.0920572,R
1404293,8.5271067,12.1311739,R
1405954,10.112483,12.2323898,R
1405980,8.4622927,12.2338817,R
1406011,9.4701995,12.2358917,R
1407022,8.5281925,12.2960466,R
1408458,8.2409678,12.3781865,R
1410414,10.1371575,12.4859255,R
1411134,9.0004682,12.5271753,R
1411808,10.1782115,12.5626815,R
1417170,9.4974945,12.8379522,R
1420324,9.1004173,12.9880819,R
1428508,8.4820044,13.3377583,R
1436448,7.9428951,13.6415627,R
1441478,9.4789348,13.8210231,R
1442079,9.1212054,13.8437033,R
1443358,8.371933,13.8901746,R
1450227,10.1559357,14.1377775,R
1450804,8.9193308,14.1598847,R
1453668,8.6872363,14.2635109,R
1455161,9.2609258,14.323378,R
1458473,9.4980068,14.4516269,R
1459089,9.0248066,14.4740504,R
1461243,10.0933669,14.5602848,R
1464991,9.6162724,14.7050613,R
1467327,9.1689451,14.7928878,R
1472225,7.8690396,14.9857117,R
1475718,8.4080683,15.1179272,R
1475890,8.8969956,15.1235396,R
1476379,7.882004,15.1401601,R
1479224,9.7280976,15.2404563,R
1480416,8.2873763,15.2831016,R
1484019,8.3892589,15.4145695,R
1486130,8.3437787,15.4944565,R
1489696,8.1120191,15.6374975,R
1494169,9.7944335,15.8232925,R
1496233,9.2017934,15.9125597,R
1496318,8.2861809,15.9159533,R
1498679,8.9778148,16.0154678,R
1503976,10.3357667,16.234138,R
1506132,9.9115205,16.3286049,R
1506700,10.0082375,16.3512459,R
1509268,9.6248474,16.4591719,R
1511649,8.7219541,16.5590104,R
1517723,9.1084976,16.8179951,R
1521138,10.1564912,16.9578169,R
1524471,8.6868867,17.0930956,R
1524846,8.8766149,17.1097348,R
1535805,9.8979671,17.5642214,R
1539380,7.8721654,17.7028552,R
1546638,9.9662829,17.9705226,R
1548534,8.3453614,18.0410636,R
1563365,8.1863752,18.567442,R
1563611,9.0815234,18.5760905,R
1566596,10.112453,18.6693666,R
1567697,8.4589227,18.7065585,R
1571241,7.8007071,18.8154437,R
1589807,9.3335698,19.3667442,R
1591106,9.4690882,19.4050737,R
1617170,10.2311101,20.123932,R
1620176,9.786253,20.2136476,R
1621802,8.2952491,20.2600476,R
1623094,9.3006721,20.2984147,R
1627640,8.4069345,20.4488881,R
1632853,8.2738247,20.6529675,R
1643729,9.4505729,21.1440637,R
1643903,8.3935661,21.1515335,R
1648331,10.3400424,21.3563155,R
1648451,7.8480419,21.3619586,R
1658121,9.3720978,21.8287216,R
1659275,10.2166643,21.8875416,R
1659703,9.940402,21.9090926,R
1670629,9.4966075,22.4773304,R
1673087,8.2294098,22.6117712,R
1673295,7.8019875,22.6244984,R
1674859,7.7118002,22.7146365,R
1677848,10.1531323,22.8917483,R
1678698,9.0212629,22.9422421,R
1683363,7.8503735,23.2091395,R
1686047,10.1458563,23.3610246,R
1689795,9.8997338,23.576369,R
1698561,8.0665156,24.0424039,R
1701436,8.6392224,24.1768288,R
1702843,10.3692381,24.2417729,R
1704155,9.8857162,24.2991379,R
1705577,8.0384446,24.3610628,R
1706709,10.3722898,24.4107739,R
1709145,8.4713028,24.5144502,R
1709980,8.8136636,24.5479001,R
1710272,9.2535321,24.5586478,R
1711270,10.1554729,24.5957179,R
1714806,10.2642803,24.7280909,R
1717024,7.8764223,24.8089936,R
1720630,8.7869829,24.9369758,R
1743278,7.7677799,25.6218794,R
1746611,8.067187,25.7065748,R
1748799,8.0811699,25.7620801,R
1753174,9.5119806,25.8734453,R
1753286,8.9873671,25.8757392,R
1759207,8.183757,26.0143698,R
1764379,10.2568198,26.143396,R
1764415,8.1515721,26.1441352,R
1764775,10.2039312,26.1523916,R
1770909,9.2068296,26.3004617,R
1772913,9.9946445,26.3511332,R
1773791,9.7299865,26.3740208,R
1777853,9.5253915,26.4797993,R
1782622,9.3376879,26.6161592,R
1786777,9.6364488,26.7365108,R
1788601,8.6943544,26.7950269,R
1801003,9.6086139,27.2077125,R
1801839,9.0218243,27.2355084,R
1805801,8.6158275,27.3642185,R
1806004,9.9299564,27.3702769,R
1810383,10.1880866,27.514264,R
1823001,10.0915585,27.9790038,R
1828932,9.1705074,28.1938272,R
1834199,9.4420329,28.3828588,R
1841997,8.1869821,28.6523533,R
1842004,9.9930727,28.6525033,R
1844455,7.9994981,28.737703,R
1845492,7.8702063,28.7725204,R
1847473,8.3484739,28.8364629,R
1853106,10.0485647,29.0161452,R
1854284,8.603993,29.0546189,R
1862128,7.6118075,29.3049428,R
1866485,8.6747816,29.4446297,R
1867071,10.2531072,29.462911,R
1867307,10.0663127,29.46997,R
1868337,8.9201129,29.5017978,R
1868698,8.6954366,29.5124953,R
1869899,10.1257104,29.5507318,R
1877675,9.0475244,29.7733987,R
1879940,7.8134138,29.835868,R
1880460,8.9752628,29.8493073,R
1880523,7.6315808,29.8508449,R
1882117,10.2420584,29.8928708,R
1882613,8.2523453,29.9064803,R
1882922,7.6703435,29.9149182,R
1884618,8.9976262,29.9576069,R
1890317,8.6551787,30.1020103,R
1894168,9.4669944,30.1984159,R
1897994,9.0587792,30.2923459,R
1900534,8.4730033,30.3564086,R
1901118,7.7595624,30.3722248,R
1902561,7.8607581,30.407565,R
1907368,8.8179149,30.528139,R
1909076,9.5833498,30.5724065,R
1910104,9.9772298,30.5976247,R
1919385,9.4380931,30.8186437,R
1922101,7.6674325,30.8827794,R
1928128,7.7758171,31.0226881,R
1932689,8.9720826,31.122069,R
1937874,10.0513962,31.2366314,R
1945338,8.55528,31.4002003,R
1955220,8.215699,31.6046733,R
1958331,9.133343,31.6682161,R
1967274,8.288242,31.8435157,R
1968142,9.7064629,31.8597813,R
1973386,8.9329904,31.9660068,R
2003084,9.243598,32.5726223,R
2013808,7.8024602,32.8260194,R
2030972,9.0913686,33.3886196,R
2031768,9.3196248,33.4250113,R
2031999,7.8311473,33.4355348,R
2033912,9.6585214,33.5268572,R
2036230,8.9892974,33.6433936,R
2037357,7.9278252,33.7059875,R
2038111,7.8578542,33.7483952,R
2038711,9.0150938,33.782877,R
2040463,7.8392945,33.8849915,R
2042316,9.9696675,34.0035508,R
2043187,9.9341314,34.0588589,R
2044521,7.9177287,34.1419193,R
2047680,7.9112817,34.3428398,R
2051603,8.1582048,34.5946465,R
2053493,8.0148666,34.7210649,R
2061646,8.5685825,35.2497583,R
2065962,9.4965471,35.5310146,R
2081094,10.0737541,36.4649068,R
2081939,8.8968872,36.5114388,R
2082171,8.4727401,36.524625,R
2082490,8.0510179,36.5415965,R
2083788,9.9676247,36.615335,R
2085645,7.8501644,36.7172044,R
2086754,7.5236662,36.7753597,R
2087136,7.9806737,36.7957367,R
2087212,8.8469912,36.7993626,R
2087632,8.4577209,36.8237637,R
2087714,8.0872504,36.8286055,R
2091618,8.2874449,37.0308936,R
2091871,8.843748,37.043741,R
2105948,7.7479246,37.6479746,R
2113498,9.929153,37.9375696,R
2117864,10.330151,38.101873,R
2118619,9.4363858,38.1292748,R
2119609,10.2566145,38.1659388,R
2119877,7.5964374,38.1753337,R
2129843,9.95705,38.5384956,R
