iauname,not_ring_pred,ring_pred,link,ra,dec,redshift,elpetro_absmag_r,sersic_nmgy_r,petro_th50,petro_th90,petro_theta
J152707.99+075244.7,0.024484260007739,0.9755157232284546,https://storage.yandexcloud.net/ring-galaxies/J152707.99%2B075244.7.jpg,231.78331166193152,7.879155950241122,0.043113485,-20.016748,842.70685,4.2470646,14.83565,14.993075
J095147.19+305850.8,0.0245265439152717,0.975473403930664,https://storage.yandexcloud.net/ring-galaxies/J095147.19%2B305850.8.jpg,147.94662809387535,30.980786595266263,0.08048349,-21.54349,873.87006,6.5815725,14.22231,13.491169
J014924.83-100913.1,0.0245386064052581,0.9754613637924194,https://storage.yandexcloud.net/ring-galaxies/J014924.83-100913.1.jpg,27.35347699264479,-10.153673814286485,0.08629481,-21.87893,912.7892,4.9396195,16.33545,12.270542
J095312.87+083910.6,0.0245691761374473,0.9754309058189392,https://storage.yandexcloud.net/ring-galaxies/J095312.87%2B083910.6.jpg,148.30365807518024,8.652981136119127,0.097302206,-21.291462,494.84253,4.383704,9.472872,9.129296
J121210.60+131452.9,0.024613032117486,0.9753869771957396,https://storage.yandexcloud.net/ring-galaxies/J121210.60%2B131452.9.jpg,183.0491433438978,13.246522375678625,0.006231295,-18.342342,6811.0625,19.00677,52.85253,36.367928
J012555.77-032017.7,0.0246443431824445,0.9753556847572328,https://storage.yandexcloud.net/ring-galaxies/J012555.77-032017.7.jpg,21.48240220297982,-3.3382795831753524,0.11992942,-21.60898,313.2538,4.05005,8.985889,8.214783
J114012.53+113505.5,0.024649953469634,0.975350022315979,https://storage.yandexcloud.net/ring-galaxies/J114012.53%2B113505.5.jpg,175.05224363131146,11.584875402168182,0.07952405,-20.423494,269.64963,3.9031565,11.9490185,8.301952
J013838.89-033553.0,0.0246540457010269,0.9753459095954896,https://storage.yandexcloud.net/ring-galaxies/J013838.89-033553.0.jpg,24.662097488856748,-3.5979987386195886,0.1150998,-21.607807,365.96164,4.645729,9.27499,8.4790745
J091630.11+011735.5,0.024659963324666,0.9753400087356568,https://storage.yandexcloud.net/ring-galaxies/J091630.11%2B011735.5.jpg,139.1255090051644,1.2931873858550822,0.13697402,-21.590897,325.2611,4.2470646,10.145617,8.985889
J080400.21+192540.8,0.0246799532324075,0.9753201007843018,https://storage.yandexcloud.net/ring-galaxies/J080400.21%2B192540.8.jpg,121.00089256732375,19.428029507396754,0.13054371,-21.791866,338.96445,3.965447,10.583149,9.777639
J121034.71+044014.3,0.024686487391591,0.9753134846687316,https://storage.yandexcloud.net/ring-galaxies/J121034.71%2B044014.3.jpg,182.64465237514688,4.670648459508315,0.1337512,-21.671412,275.2056,3.241622,7.58235,7.692974
J144038.36+172743.8,0.0247067157179117,0.9752933382987976,https://storage.yandexcloud.net/ring-galaxies/J144038.36%2B172743.8.jpg,220.15985717869216,17.46215102049019,0.08513757,-20.680265,299.0487,3.0780334,9.129296,7.792477
J101000.93+154331.2,0.0247264895588159,0.9752734899520874,https://storage.yandexcloud.net/ring-galaxies/J101000.93%2B154331.2.jpg,152.50389229636218,15.725367527005725,0.04759051,-20.791729,1053.6324,3.7025027,11.156693,8.985889
J005630.29-030126.9,0.0247416514903306,0.9752584099769592,https://storage.yandexcloud.net/ring-galaxies/J005630.29-030126.9.jpg,14.12626277750017,-3.0242744544506874,0.049921278,-20.614279,884.8071,5.1710205,12.483024,11.3258
J023007.87-004232.0,0.0247458852827548,0.9752540588378906,https://storage.yandexcloud.net/ring-galaxies/J023007.87-004232.0.jpg,37.53282927381832,-0.7089183947999177,0.06908893,-20.45028,419.5385,2.4273407,7.9168377,4.871721
